source_id	title	platform	url	published_at	access_type	authorization_status	source_type	topic_tags	stroke_tags	timestamps	usability	confidence	notes
ZSW_BILI_BV1FXIJBKEZC	羽球思维第九十二期 反手底线低手位过渡对角	Bilibili	https://www.bilibili.com/video/BV1fxijBKEZc	2026-01-04	public	official	video	defense_transition,reset,shot_choice	backhand,transition		usable	high	Tier A; official-account public video; duration 303s; public metadata verified 2026-07-17.
ZSW_BILI_BV13LALEFE31	分享一期利用泡沫轴 筋膜球进行赛后放松的教学视频	Bilibili	https://www.bilibili.com/video/BV13LALefE31	2025-02-16	public	official	video	recovery,load_management,safety	recovery		auxiliary	high	Tier A safety boundary; official-account public video; duration 184s; not used for mixed-doubles tactical rules.
ZSW_BILI_BV1SC6PYHEDD	分享一期肩部力量训练的教学	Bilibili	https://www.bilibili.com/video/BV1sC6PYhEdd	2024-12-02	public	official	video	strength,load_management,safety	conditioning		auxiliary	high	Tier A conditioning boundary; official-account public video; duration 119s; not used to diagnose injury.
ZSW_BILI_BV1BSBWZSEFS	羽毛球双打到底应该怎么攻	Bilibili	https://www.bilibili.com/video/BV1BsbWzsEfS	2025-08-20	public	official	video	doubles_attack,rotation,continuity	doubles		candidate	medium	Tier B; public B站官方学园 eight-part course; instructor identity and each lesson claim require content-level review before promotion.
ZSW_BILI_BV18Y411E7Y3	第4集｜打混双，男生怎么接发球更合理？	Bilibili	https://www.bilibili.com/video/BV18Y411e7y3	2023-02-18	public	third_party	video	mixed_doubles,receive,opening	serve_receive		candidate	medium	Tier B topical lesson; uploader 羽毛球迪迪王; public metadata verified; never sufficient alone for a deterministic rule.
ZSW_BILI_BV1R24Y1M71B	#混双球路剖析#混双教科书 雅思组合	Bilibili	https://www.bilibili.com/video/BV1R24y1M71B	2023-03-13	public	third_party	video	mixed_doubles,rotation,match_analysis	doubles		candidate	medium	Tier C analysis of Zheng/Huang patterns; useful for questions and rally examples, not deterministic rules.
ZSW_BILI_BV1TMZBY2EPZ	专业和业余的不同打法 混双球路解析#欢迎讨论&提问	Bilibili	https://www.bilibili.com/video/BV1tmZbY2EPz	2025-04-01	public	third_party	video	mixed_doubles,rotation,learner_comparison	doubles		candidate	medium	Tier C analysis; useful for learner-route hypotheses only; never sufficient alone for a deterministic rule.
ZSW_BILI_BV1D6E96JEM2	业余羽毛球混双防守+反击逻辑拆解	Bilibili	https://www.bilibili.com/video/BV1D6E96JEM2	2026-06-10	public	third_party	video	mixed_doubles,defense_transition,counterattack	doubles,defense		candidate	medium	Tier C analysis; uploader description states an amateur mixed-doubles defense/counterattack model; never sufficient alone for a deterministic rule.
ZSW_BILI_BV1NSWZEFECD	低视角下看史上最强混双郑思维黄雅琼究竟有多恐怖！	Bilibili	https://www.bilibili.com/video/BV1nswZefEcD	2025-02-18	public	third_party	video	mixed_doubles,match_observation,rotation	doubles		auxiliary	medium	Tier C low-angle observation footage; use only for bounded visible-pattern candidates and provenance-safe reference frames.
ZSW_BILI_BV1S24Y1P7NM	【直播回放】苏迪曼杯决赛 郑思维/黄雅琼VS徐承宰/蔡侑玎	Bilibili	https://www.bilibili.com/video/BV1S24y1P7nM	2023-05-21	public	third_party	video	mixed_doubles,match_transfer,rally_context	doubles		auxiliary	medium	Tier C match replay; use only for visible rally context; no tactical intent claim from footage alone.
