source_id	title	platform	url	published_at	access_type	authorization_status	source_type	topic_tags	stroke_tags	timestamps	usability	confidence	notes
LH_BILI_FAV_BV15PBRB6EDK	业余最优架拍方式！羽毛球重杀框架和快杀框架！三种后场框架优缺点和发力方式	Bilibili	https://www.bilibili.com/video/BV15pBRB6EDk/	2025-12-27	public	authorized	video	power_framework,smash,overhead	smash,high_clear		candidate	medium	Imported from Bilibili public favorite/list metadata; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_FAV_BV11KRJBREVH	后场发力速成秘籍！羽毛球业余小白鼠从0到1学高远球发力！邪修速成版	Bilibili	https://www.bilibili.com/video/BV11KRjBREVH/	2026-05-02	public	authorized	video	high_clear,power,beginner	high_clear		candidate	medium	Imported from Bilibili public favorite/list metadata; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_FAV_BV1SRQDYZEA3	史上最全挥拍教学！专治各种羽毛球错误发力！初学发不上力必看！价值百亿！	Bilibili	https://www.bilibili.com/video/BV1SRqDYZEa3/	2024-12-12	public	authorized	video	swing,power,error_correction	all		candidate	medium	Imported from Bilibili public favorite/list metadata; upper=大G羽毛球; review timestamps before rule use.
LH_DOUYIN_SEARCH_OFFICIAL	Douyin public search for Liu Hui badminton official profile	Douyin	https://www.douyin.com/search/%E5%88%98%E8%BE%89%E7%BE%BD%E6%AF%9B%E7%90%83	unknown	public	public	search	official_discovery,short_video,index	all		auxiliary	low	Douyin search entry for profile/video discovery; exact profile URL requires browser verification.
LH_DOUYIN_SEARCH_FLASH_POWER	Douyin public search for flash power teaching	Douyin	https://www.douyin.com/search/%E5%88%98%E8%BE%89%E9%97%AA%E5%8A%A8%E5%8F%91%E5%8A%9B%E6%95%99%E5%AD%A6	unknown	public	public	search	flash_power,short_video,index	high_clear,smash		auxiliary	low	Douyin search entry for short-video discovery; not direct coaching evidence until timestamped.
LH_DOUYIN_OFFICIAL_PROFILE	Douyin Liu Hui badminton public profile	Douyin	https://www.douyin.com/user/MS4wLjABAAAAWjdIB0hVVck6qakdyvxT4JskFqaWqBPA0cLVKNAXCX8	unknown	public	public	profile	short_video,official_discovery,profile	all		candidate	medium	Public search result points to Liu Hui badminton Douyin profile; browser verification needed.
LH_INSTAGRAM_REELS	Instagram public Liu Hui badminton reel discovery	Instagram	https://www.instagram.com/explore/search/keyword/?q=%E5%88%98%E8%BE%89%E7%BE%BD%E6%AF%9B%E7%90%83	unknown	public	public	search	short_video,index,discovery	all		auxiliary	low	Search URL for cross-platform public discovery; not coaching evidence.
LH_INSTAGRAM_INTERVIEW	Instagram Liu Hui interview reel discovery	Instagram	https://www.instagram.com/badminton_whisperer/reel/C4nylWhLp34/	unknown	public	public	video	interview,coaching_style,student_fit	all		auxiliary	low	Public search result points to interview/reel; auxiliary until directly reviewed.
LH_BILI_LIVE_QA_20240202	Dagi Badminton Liu Hui live teaching clip collection 20240202	Bilibili	https://www.bilibili.com/video/BV1yM411L72x/	2024-02-02	public	authorized	video	live_teaching,qa,authorized_clip,system	all		usable	medium	Public Bilibili page says Dagi Badminton live teaching clips are authorized by Liu Hui; page lists multiple topic segments.
LH_BILI_CORE_COMPETITION	Liu Hui core competition public clip	Bilibili	https://www.bilibili.com/video/BV1qh4y1f7sZ/	unknown	public	public	video	core_competition,match_transfer,system	all		candidate	medium	Public search result title points to core competitive ability; needs timestamp review.
PUBLIC_DISCUSSION_THREADS	Public discussion about Liu Hui coaching style	Threads	https://www.threads.com/%40chaostome/post/DTFDNmbgQ0x	unknown	public	third_party	discussion	efficiency,coaching_style,student_feedback	all		auxiliary	low	Third-party discussion only; cannot independently create rules.
PUBLIC_BADMINTONCN_DISCUSSION	Badmintoncn repost/discussion about Liu Hui coaching	BadmintonCN	https://bbs.badmintoncn.com/thread-631652-1-1.html	unknown	public	third_party	discussion	coaching_style,discussion,history	all		auxiliary	low	Forum discussion/repost only; not direct coaching authority.
PUBLIC_SEARCH_WEB	Public web search for Liu Hui badminton teaching	WebSearch	https://www.google.com/search?q=%E5%88%98%E8%BE%89%E7%BE%BD%E6%AF%9B%E7%90%83%20%E6%95%99%E5%AD%A6	unknown	public	third_party	search	discovery,index,web	all		auxiliary	low	Search URL documenting continued discovery path; not coaching evidence.
LH_BILI_SEASON_BV1ML411Q7QA	为什么打完羽毛球后膝盖疼？打球如何避免膝盖伤痛 刘辉教练教你保护膝盖的方法！#羽毛球教学 #羽毛球	Bilibili	https://www.bilibili.com/video/BV1mL411Q7QA/	2023-03-27	public	authorized	video	bilibili_season_metadata	all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1VX4Y1A71T	杀球压不下去？刘辉教练教你杀球如何下压技巧	Bilibili	https://www.bilibili.com/video/BV1vx4y1A71t/	2023-03-24	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1TM4Y1B7Z8	单打制胜唯一法宝 刘辉教练教你羽毛球单打核心思路#羽毛球 #羽毛球教学	Bilibili	https://www.bilibili.com/video/BV1tM4y1B7z8/	2023-03-22	public	authorized	video	bilibili_season_metadata	all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1TT411R7FT	羽毛球反手保姆级教学！刘辉教练教你羽毛球反手被动球如何处理！	Bilibili	https://www.bilibili.com/video/BV1TT411r7Ft/	2023-03-21	public	authorized	video	backhand	backhand		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1VM4Y1Y7AS	遁地跑杀球为什么是最猛杀球？比跳杀还重？完整教学	Bilibili	https://www.bilibili.com/video/BV1Vm4y1Y7as/	2023-06-28	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1RX4Y197AQ	双腿跳杀详细教学！我不允许我的粉丝还不会，刘辉教练教你低配版跳杀	Bilibili	https://www.bilibili.com/video/BV1Rx4y197Aq/	2023-07-28	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1XH4Y1R7GC	什么是框架？容易忽视又很重要的理念！刘辉教练教你有框架的打球是什么样子 别再错过一个亿	Bilibili	https://www.bilibili.com/video/BV1Xh4y1r7gc/	2023-08-08	public	authorized	video	power_framework	all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1JP411Y7J8	底线被平高球顶穿怎么办？刘辉教练教你接底线球技巧	Bilibili	https://www.bilibili.com/video/BV1JP411y7j8/	2023-07-11	public	authorized	video	bilibili_season_metadata	all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1DH4Y1H7VW	杀球杀不好可能是因为你没搞懂什么是杀球？刘辉教练教你正确的杀球概念 看懂后再去试试杀球 猛一倍不止	Bilibili	https://www.bilibili.com/video/BV1Dh4y1h7vW/	2023-09-22	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1GJ411K7OQ	如何提高挥拍速度？刘辉教练教你提升球速从静止框架锁拍开始 干货啊 价值一亿	Bilibili	https://www.bilibili.com/video/BV1Gj411k7oQ/	2023-09-18	public	authorized	video	power_framework,swing	all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1IF411K7R2	劈吊球完整教学来啦！刘辉教练教你轻吊劈吊重劈的关键技巧！看不懂的多看几遍 别再错过十亿了	Bilibili	https://www.bilibili.com/video/BV1iF411k7R2/	2023-09-01	public	authorized	video	drop	drop		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1K34Y1G7FV	发力时握拍是握拳还是九字？刘辉教练教你正确的发力握拍应该是这样的	Bilibili	https://www.bilibili.com/video/BV1K34y1g7fv/	2023-10-19	public	authorized	video	power	all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1QB4Y1Z73X	重杀怎么接？刘辉教练教你重杀接杀防守技巧 如何快速做出接杀动作	Bilibili	https://www.bilibili.com/video/BV1QB4y1Z73X/	2023-10-18	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1QC4Y1R7JP	羽毛球收吊怎么打？刘辉教练教你收吊的核心技巧和轻吊的区别 变化可不只是吊球 华丽的后场假动作	Bilibili	https://www.bilibili.com/video/BV1QC4y1R7jp/	2023-10-11	public	authorized	video	drop	drop		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1P34Y1V7QA	遁地炮杀球有多重？刘辉教练教你国际女双常用的重杀这样打 一亿来了	Bilibili	https://www.bilibili.com/video/BV1p34y1V7qa/	2023-10-07	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV14M4Y1376B	大发力杀球怎么杀？刘辉教练教你重杀和快杀的核心动作技巧 一个视频讲透 不看错过一亿	Bilibili	https://www.bilibili.com/video/BV14m4y1376B/	2023-10-06	public	authorized	video	smash,power	smash,all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1MW41117F1	杀球怎么才能压下去？刘辉教练教你杀球发力核心动作技巧 今日份一个亿来了	Bilibili	https://www.bilibili.com/video/BV1mw41117F1/	2023-10-03	public	authorized	video	smash,power	smash,all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1784Y1S7PF	什么是跳杀滞空感？刘辉教练教你跳杀为什么会有失重感 搞清楚这一点你的跳杀就稳了 一亿赚不赚吧	Bilibili	https://www.bilibili.com/video/BV1784y1S7pf/	2023-09-29	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1UQ4Y1H7GG	为什么发正手高远球是业余球友最好的发球方式？刘辉教练教你发好正手高远是多么恐怖的存在 意识提高篇	Bilibili	https://www.bilibili.com/video/BV1uQ4y1H7gg/	2023-10-28	public	authorized	video	high_clear,serve_receive	high_clear,serve_receive		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1IN411X78R	高远球怎么样才算合格呢？刘辉教练教你高远球为什么被称为黄金技术！真正的高远球有多恐怖	Bilibili	https://www.bilibili.com/video/BV1iN411x78r/	2023-10-26	public	authorized	video	high_clear	high_clear		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1FB4Y1Z7CD	保姆级正手被动过渡球【一】刘辉教练教你实战过渡球这样打能直接得分 别再打又高又慢的过渡球拉	Bilibili	https://www.bilibili.com/video/BV1FB4y1Z7cD/	2023-10-23	public	authorized	video	match_transfer	all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1HZ4Y1A7XQ	吊球又高又慢怎么办？刘辉教练教你打出有速度的吊球只需要这个技巧	Bilibili	https://www.bilibili.com/video/BV1Hz4y1A7XQ/	2023-11-22	public	authorized	video	drop	drop		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV15E411Q713	提升挥速的秘诀是什么？球速、挥速、爆发力、静止框架！刘辉教练11分钟极限输出 一次讲清楚	Bilibili	https://www.bilibili.com/video/BV15e411Q713/	2023-11-17	public	authorized	video	power,power_framework	all		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
LH_BILI_SEASON_BV1AG411X7FR	杀球总下网怎么办？刘辉教练教你杀得平和杀得尖怎么控制？杀球四个等级'重快边尖'是什么！	Bilibili	https://www.bilibili.com/video/BV1AG411X7FR/	2023-11-16	public	authorized	video	smash	smash		candidate	medium	Imported from Bilibili UGC season public metadata; season_id=1310095; season=正手发力; section=正片; upper=大G羽毛球; review timestamps before rule use.
