source_id	title	platform	url	published_at	access_type	authorization_status	source_type	topic_tags	stroke_tags	timestamps	usability	confidence	notes
LYX_BILI_BV1RZ9YBCELY	没球鞋穿？口粮羽球鞋开箱测评来了	Bilibili	https://www.bilibili.com/video/BV1rZ9YBcELY	2026-05-01	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=102s; discovered_by=space_playlist
LYX_BILI_BV1AB9VBQEIY	网前技术完整版来啦！搓、勾、推、挑、扑！细节教学看评论【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1aB9vBQEiy	2026-05-01	public	official	video	frontcourt	frontcourt		candidate	high	Official-account public metadata; duration=283s; discovered_by=space_playlist
LYX_BILI_BV1PUD1BGE3V	挑了球被对手往反手区打平高球怎么接？或被对手劈吊“罚站”了怎么办？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Pud1BgE3v	2026-04-21	public	official	video	high_clear,drop,backhand	high_clear,drop,backhand		candidate	high	Official-account public metadata; duration=901s; discovered_by=space_playlist
LYX_BILI_BV1ATD3BHE3J	9字握法是使不上劲的！一个特反人类的动作！一定要看完！【李宇轩】	Bilibili	https://www.bilibili.com/video/BV1AtD3BhE3j	2026-04-05	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=898s; discovered_by=space_playlist
LYX_BILI_BV1B5XZBCETR	BV1b5XZBCEtr	Bilibili	https://www.bilibili.com/video/BV1b5XZBCEtr	unknown	restricted	public	video	unclassified_public_video	all		auxiliary	medium	Official-account public metadata; duration=unknowns; discovered_by=space_playlist; public detail endpoint unavailable; excluded from content parsing
LYX_BILI_BV18GWPZMER4	遇到速度快的球员如何限制？单打双打混双都一样！3招解决！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV18GwPzmER4	2026-03-12	public	official	video	doubles,singles	doubles,singles		candidate	high	Official-account public metadata; duration=898s; discovered_by=space_playlist
LYX_BILI_BV1ZTPAZVEM2	杀了球下一拍衔接不上，连贯不了导致对分该怎么办？杀上网最好的步伐是哪种？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1ztPAzvEm2	2026-03-04	public	official	video	footwork,training	footwork		candidate	high	Official-account public metadata; duration=964s; discovered_by=space_playlist
LYX_BILI_BV1XQFWBAEZL	超级丹【断腕杀】正确发力和使用方法！再也不用怕别人打你平高球，或担心杀球得不了分！	Bilibili	https://www.bilibili.com/video/BV1xQfwBaEZL	2026-02-23	public	official	video	smash,high_clear,power	smash,high_clear		candidate	high	Official-account public metadata; duration=758s; discovered_by=space_playlist
LYX_BILI_BV1SWCWZAEXP	遇到防守好球员应该怎么进攻得分？杀球轻又怎么杀才能得分？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1SwcWzAExP	2026-02-14	public	official	video	smash,drive	smash,drive		candidate	high	Official-account public metadata; duration=898s; discovered_by=space_playlist
LYX_BILI_BV13UZDBOEEY	总是被对方快速压后场两点怎么办？所有后场都是被动球？一招顶尖球员常用的绝招！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV13uzDBoEeY	2026-01-25	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1EUR9BYE2P	挥拍没速度，始终发不上力，打球挥拍总卡，打不准！这是99%无意当中养成的坏习惯导致的【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1eUr9ByE2P	2026-01-18	public	official	video	power	all		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1DYIUBVEPA	单打球员不会打双打怎么办？到底怎么学双打套路？一招教会你搞明白双打套路【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1DyiUBVEpA	2026-01-08	public	official	video	doubles,singles,tactics	doubles,singles		candidate	high	Official-account public metadata; duration=735s; discovered_by=space_playlist
LYX_BILI_BV1GRINB4EDG	遇到爱打平高和劈吊的球员怎么接怎么反击呢？一招解决！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1GriNB4EDG	2025-12-31	public	official	video	drop	drop		candidate	high	Official-account public metadata; duration=701s; discovered_by=space_playlist
LYX_BILI_BV1DJBNBCEJS	【反手高远球】的正确发力方法和借力方法！转换重心是关键！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1dJBnBCEjs	2025-12-22	public	official	video	high_clear,backhand,power	high_clear,backhand		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1FRQHBLE2B	BV1frqhBLE2B	Bilibili	https://www.bilibili.com/video/BV1frqhBLE2B	unknown	restricted	public	video	unclassified_public_video	all		auxiliary	medium	Official-account public metadata; duration=unknowns; discovered_by=space_playlist; public detail endpoint unavailable; excluded from content parsing
LYX_BILI_BV1KS2YBDEUF	弹挑，快挑，推挑，一种让对方反应不过来的挑球！单打双打必学技术【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1KS2yBDEuf	2025-12-09	public	official	video	frontcourt,doubles,singles	frontcourt,doubles,singles		candidate	high	Official-account public metadata; duration=894s; discovered_by=space_playlist
LYX_BILI_BV1IDUJBFELZ	接杀【分球反攻】技术！双打混双如何轻松防住重炮且立即反攻转主动！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1idUjBfELZ	2025-11-22	public	official	video	drive,doubles	drive,doubles		candidate	high	Official-account public metadata; duration=895s; discovered_by=space_playlist
LYX_BILI_BV1EDYQBLEED	【移动中启动】解决步伐卡顿，很多小碎步，启动时机不对的秘诀！专业球员的启动，细化顺畅【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1eDyQBLEed	2025-11-02	public	official	video	footwork	footwork		candidate	high	Official-account public metadata; duration=872s; discovered_by=space_playlist
LYX_BILI_BV12JSVZXEBL	一招解决 双打混双【接发】没有主动权，没法压球限制对手，出球没速度的问题！接发再也不会没有威胁力【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV12JsvzXEBL	2025-10-23	public	official	video	serve_receive,doubles	serve_receive,doubles		candidate	high	Official-account public metadata; duration=953s; discovered_by=space_playlist
LYX_BILI_BV1Z34WZJEQT	【正手滑板吊直线】5个关键点做的细化，快，隐蔽！特别省力的得分手段【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Z34WzjEQT	2025-10-11	public	official	video	drop	drop		candidate	high	Official-account public metadata; duration=893s; discovered_by=space_playlist
LYX_BILI_BV1QJHPZCENS	双打和混双【轮转/跑位】到底怎么做？目的是什么？来学学顶尖球员的秘诀【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1qjHPzCENS	2025-10-02	public	official	video	doubles	doubles		candidate	high	Official-account public metadata; duration=1056s; discovered_by=space_playlist
LYX_BILI_BV1MQJ2ZGEQR	为什么打双打和混双网前封网总漏球，打不着球，即便提前预判了还是挥空拍？秘诀到底是什么【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1mqJ2zGEQr	2025-09-24	public	official	video	frontcourt,doubles	frontcourt,doubles		candidate	high	Official-account public metadata; duration=929s; discovered_by=space_playlist
LYX_BILI_BV1PEPUZKEZE	BV1PEpuzkEzE	Bilibili	https://www.bilibili.com/video/BV1PEpuzkEzE	unknown	restricted	public	video	unclassified_public_video	all		auxiliary	medium	Official-account public metadata; duration=unknowns; discovered_by=space_playlist; public detail endpoint unavailable; excluded from content parsing
LYX_BILI_BV1UMPNZNE3J	后场预判不了球的落点，从而找不到击球点，总感觉总来不及打后场球！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1UmpNzNE3J	2025-09-15	public	official	video	high_clear,contact_point,tactics	high_clear		candidate	high	Official-account public metadata; duration=898s; discovered_by=space_playlist
LYX_BILI_BV17ZAXZEEAK	99%球员做错了击球时手指抓紧时机！导致发不上力，切拍，打歪！来学发力的秘诀【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV17zaxzeEak	2025-09-05	public	official	video	power,grip	all		candidate	high	Official-account public metadata; duration=850s; discovered_by=space_playlist
LYX_BILI_BV1XRVKZYE3X	打球套路很单一，没有球路，没有打球意识，怎么办？怎么加强意识，怎么加强套路？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1xRvKzYE3x	2025-08-27	public	official	video	tactics	all		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1MIBBZ5E9U	挑球怎么轻松挑得又高又到位？隐蔽性挑球和假动作挑球，把防守转为进攻！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1MibBz5E9U	2025-08-14	public	official	video	frontcourt,drive	frontcourt,drive		candidate	high	Official-account public metadata; duration=899s; discovered_by=space_playlist
LYX_BILI_BV1XIBYZQE1H	杀对角总被对方接回来陷入被动？那就学滑板杀球！隐蔽又有威胁力的假动作杀球！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1XibyzqE1h	2025-07-25	public	official	video	smash,drop	smash,drop		candidate	high	Official-account public metadata; duration=805s; discovered_by=space_playlist
LYX_BILI_BV1EG3MZ3EYD	陶菲克/李梓嘉反手反抽斜线！反攻技术【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Eg3mz3EYd	2025-07-05	public	official	video	backhand	backhand		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV17YTCZNEFQ	收吊球：特别省力且威胁力大的得分技术！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV17YTczNEfq	2025-06-27	public	official	video	drop	drop		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1XVMNZTEE3	李宗伟必杀技-正手不转身突击杀球（斜线），隐蔽且有爆发力【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1xVMNztEE3	2025-06-13	public	official	video	smash,power,singles	smash,singles		candidate	high	Official-account public metadata; duration=906s; discovered_by=space_playlist
LYX_BILI_BV12VMJZZERR	BV12vMJzzErR	Bilibili	https://www.bilibili.com/video/BV12vMJzzErR	unknown	restricted	public	video	unclassified_public_video	all		auxiliary	medium	Official-account public metadata; duration=unknowns; discovered_by=space_playlist; public detail endpoint unavailable; excluded from content parsing
LYX_BILI_BV14QMJZMEBF	T1100+M40碳素，对标YY/李宁旗舰，你觉得宇冠这把拍子该卖多少钱？#宇冠寒光#宇冠发布会	Bilibili	https://www.bilibili.com/video/BV14qMJzMEbf	2025-06-11	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=67s; discovered_by=space_playlist
LYX_BILI_BV1T87EZ4ELJ	一直被对手压底线怎么办？越打越被动！学学如何用软压/轻杀限制对手打底线球，并且反压【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1T87Ez4ELj	2025-05-30	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=892s; discovered_by=space_playlist
LYX_BILI_BV1EME8ZQEGG	【掉肘】导致发不上力怎么改？5个原因和解决方案！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1emE8zqEgG	2025-05-17	public	official	video	elbow_frame	all		candidate	high	Official-account public metadata; duration=896s; discovered_by=space_playlist
LYX_BILI_BV1JHVMZYE2C	林丹太极步伐和太极大法！到底怎么跑的如此轻松？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1jhVmzyE2C	2025-05-07	public	official	video	footwork	footwork		candidate	high	Official-account public metadata; duration=1501s; discovered_by=space_playlist
LYX_BILI_BV1JD5OZ1EMN	3步学会顶尖球员【弓箭步】专门接又低又远的球【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1JD5oz1EMN	2025-04-20	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=899s; discovered_by=space_playlist
LYX_BILI_BV1PGO3Y9ERG	重杀和快杀有区别吗？到底怎么做和用处是什么？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1PGo3Y9ERg	2025-04-14	public	official	video	smash	smash		candidate	high	Official-account public metadata; duration=899s; discovered_by=space_playlist
LYX_BILI_BV1QND7YMEZV	如何准确瞄边线打球，让球一直压边线，准确控制好球的方向？一招搞定！【李宇轩教练】～购买网课以及衣服看平论置顶	Bilibili	https://www.bilibili.com/video/BV1Qnd7YmEZV	2025-04-08	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=850s; discovered_by=space_playlist
LYX_BILI_BV11UZBYKEEP	BV11uZbYkEEP	Bilibili	https://www.bilibili.com/video/BV11uZbYkEEP	unknown	restricted	public	video	unclassified_public_video	all		auxiliary	medium	Official-account public metadata; duration=unknowns; discovered_by=space_playlist; public detail endpoint unavailable; excluded from content parsing
LYX_BILI_BV128FWYTEGO	正手底线被动抽球是最困扰球员的技术，很难发力同时回位也难！几分钟解决这难题【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV128fwYTEGo	2025-04-02	public	official	video	footwork,power	footwork		candidate	high	Official-account public metadata; duration=878s; discovered_by=space_playlist
LYX_BILI_BV1RROWYHE65	正确内旋动作/发力动作！内旋不对就没有鞭打发力，不仅切球还减速，打球不响【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1rroWYHE65	2025-03-25	public	official	video	drop,power,internal_rotation	drop		candidate	high	Official-account public metadata; duration=818s; discovered_by=space_playlist
LYX_BILI_BV1RLRHYVECX	BV1rLRhYvECX	Bilibili	https://www.bilibili.com/video/BV1rLRhYvECX	unknown	restricted	public	video	unclassified_public_video	all		auxiliary	medium	Official-account public metadata; duration=unknowns; discovered_by=space_playlist; public detail endpoint unavailable; excluded from content parsing
LYX_BILI_BV1XSRTYYEOT	打球好，就看基本功！轻松搞定基本功！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1XSRtYyEoT	2025-03-09	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=264s; discovered_by=space_playlist
LYX_BILI_BV1HG9HYYEAS	林丹【劈杀对角】必杀技！轻松学会！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1hG9hYyEAS	2025-03-03	public	official	video	smash	smash		candidate	high	Official-account public metadata; duration=884s; discovered_by=space_playlist
LYX_BILI_BV1K4ARE9EVM	切推假动作技术！把你的网前技术加强，多一个假动作，多一写威胁力！一推就得分【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1k4ARe9Evm	2025-02-24	public	official	video	frontcourt	frontcourt		candidate	high	Official-account public metadata; duration=905s; discovered_by=space_playlist
LYX_BILI_BV1YGNJEQEUZ	10分钟学会让对手反应不过来的快速球/变速球/爆发力球【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1YGNjeqEUz	2025-02-09	public	official	video	power	all		candidate	high	Official-account public metadata; duration=795s; discovered_by=space_playlist
LYX_BILI_BV1AHWEECEVB	如何轻松杀得尖？几乎所有人对杀的尖技巧都搞错了！难怪越杀越没劲！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1aHweeCEVB	2025-01-22	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=898s; discovered_by=space_playlist
LYX_BILI_BV1F7CPEXEFQ	反手假动作平抽！学顶尖球员用的有速度，又隐蔽，又有威胁力的平抽球，双打/混双绝招【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1f7cpeXEfQ	2025-01-11	public	official	video	drive,backhand,doubles	drive,backhand,doubles		candidate	high	Official-account public metadata; duration=899s; discovered_by=space_playlist
LYX_BILI_BV1KNRUY1EN6	一招 解决头顶接不到球 和 总把球打出界的问题！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1KnruY1En6	2025-01-06	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=1045s; discovered_by=space_playlist
LYX_BILI_BV1HIKDYZEJT	双腿起跳杀球的学习秘诀！学了轻松正确发力，当个大炮，一杀就得分！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1hikDYzEjt	2024-12-21	public	official	video	smash,power	smash		candidate	high	Official-account public metadata; duration=835s; discovered_by=space_playlist
LYX_BILI_BV1A8IYYZEK6	启动是需要带着方向启动（方向性启动）否者动不了？启动怎么帮助移动？为什么时机会不对【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1A8iyYZEK6	2024-12-07	public	official	video	footwork	footwork		candidate	high	Official-account public metadata; duration=899s; discovered_by=space_playlist
LYX_BILI_BV1DJUIY1EGB	为什么你们打球没有爆发力？手指发力/集中发力/鞭打发力全都做错了？放松抓紧方法就没做对【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1DJUiY1Egb	2024-11-17	public	official	video	power,grip	all		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1FMMPY9EAO	双打必须的技术！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1FMmpY9Eao	2024-11-12	public	official	video	doubles	doubles		candidate	high	Official-account public metadata; duration=421s; discovered_by=space_playlist
LYX_BILI_BV1Z9SZYDEBN	【单打与双打龙卷风搓球区别】和【双腿起跳杀球】赶紧学上来！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Z9SZYdEBn	2024-11-02	public	official	video	smash,frontcourt,doubles,singles	smash,frontcourt,doubles,singles		candidate	high	Official-account public metadata; duration=890s; discovered_by=space_playlist
LYX_BILI_BV13PYZYYEXZ	双打/混双总抢球，漏球，跑错位，怎么解决？不管防守或进攻，都可以完美配合【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV13PyZYYEXZ	2024-10-24	public	official	video	drive,doubles	drive,doubles		candidate	high	Official-account public metadata; duration=650s; discovered_by=space_playlist
LYX_BILI_BV1Q22WYQEHN	勾球的秘诀！如何像顶尖球员打个贴网，快速，隐蔽的勾球？关键就是“公鸡” 对，没错，🐓 【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1q22WYQEhN	2024-10-09	public	official	video	frontcourt	frontcourt		candidate	high	Official-account public metadata; duration=1273s; discovered_by=space_playlist
LYX_BILI_BV1NJTUEYEMP	后场尤其是头顶总来不及，转身慢，被动如何解决？即便学过步伐就是来不及！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1nJtUeYEmP	2024-09-22	public	official	video	footwork	footwork		candidate	high	Official-account public metadata; duration=831s; discovered_by=space_playlist
LYX_BILI_BV1FE421C7EI	不要再当捡球师了！3步学好被动过渡球，再也不怕别人推正手底线！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1FE421c7ei	2024-08-28	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=900s; discovered_by=space_playlist
LYX_BILI_BV1GW4M1K7GD	为什么不用非持拍手就没法打好球？！到底有什么用处？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Gw4m1k7gD	2024-08-16	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=869s; discovered_by=space_playlist
LYX_BILI_BV1ZW421X75R	封网再也不漏球的秘诀！让你每一个球都可以封着！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1ZW421X75r	2024-07-26	public	official	video	doubles	doubles		candidate	high	Official-account public metadata; duration=1385s; discovered_by=space_playlist
LYX_BILI_BV1DW421R7AE	每周三周日10点晚上直播！不见不散 【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1dW421R7AE	2024-07-07	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=550s; discovered_by=space_playlist
LYX_BILI_BV1GX4Y187CR	秘诀来了！学了步伐但总是接不了吊球，移动特僵硬，不协调，到底怎么解决？赶紧学起来！！！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1gx4y187cr	2024-06-30	public	official	video	drop,footwork	drop,footwork		candidate	high	Official-account public metadata; duration=1079s; discovered_by=space_playlist
LYX_BILI_BV1IN4Y1Q7NW	霸王杀！杀球杀的尖，快，狠！对手满地找球！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1in4y1Q7nW	2024-06-09	public	official	video	smash	smash		candidate	high	Official-account public metadata; duration=897s; discovered_by=space_playlist
LYX_BILI_BV1MB421I7PF	侧身展肩架拍慢，动作来不及做导致没办法发力怎么解决？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Mb421i7pf	2024-05-28	public	official	video	power,elbow_frame	all		candidate	high	Official-account public metadata; duration=647s; discovered_by=space_playlist
LYX_BILI_BV1CR421G7M6	滑板吊球！如何做的有隐蔽性又丝滑的滑板？为什么你们却吊的又远又高？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1cr421g7m6	2024-05-07	public	official	video	drop	drop		candidate	high	Official-account public metadata; duration=1392s; discovered_by=space_playlist
LYX_BILI_BV111421O7KK	遇到爱打假动作球员怎么办？一招解决这问题！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV111421o7kk	2024-04-12	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=880s; discovered_by=space_playlist
LYX_BILI_BV1RT421V7MS	正手转换重心很难，到底该怎么做？为什么不转身更好？到底怎么发力？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Rt421V7MS	2024-03-19	public	official	video	power	all		candidate	high	Official-account public metadata; duration=1213s; discovered_by=space_playlist
LYX_BILI_BV1FH4Y1L7AT	暴力杀球，鞭打/闪动发力是如何正确的做？教你如何打出有速度，隐蔽与突然的球！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1fH4y1L7aT	2024-03-06	public	official	video	smash,power	smash		candidate	high	Official-account public metadata; duration=1122s; discovered_by=space_playlist
LYX_BILI_BV1N1421F7RY	到底什么重复球？用处是什么，怎么更完美的利用重复球得分呢？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1N1421f7Ry	2024-02-25	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=872s; discovered_by=space_playlist
LYX_BILI_BV1G6421U7OM	到底哪些步伐训练最有效，最适合你呢？哪些步伐训练可以提高速度和爆发力【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1g6421u7oM	2024-02-10	public	official	video	footwork,power,training,student_fit	footwork		candidate	high	Official-account public metadata; duration=1457s; discovered_by=space_playlist
LYX_BILI_BV14N4Y1N7RW	李梓嘉反手杀球！怎么做？同时为什么总转一圈再杀？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV14N4y1n7Rw	2024-01-21	public	official	video	smash,backhand	smash,backhand		candidate	high	Official-account public metadata; duration=1771s; discovered_by=space_playlist
LYX_BILI_BV1NA4Y1Z7GA	简单又有效的‘假动作’，怎么很容易的改变出球时机与节奏，让对手被动甚至接不了！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1na4y1z7Ga	2024-01-01	public	official	video	tactics	all		candidate	high	Official-account public metadata; duration=1817s; discovered_by=space_playlist
LYX_BILI_BV1794Y177DP	学习安洗莹的漂亮步伐！她怎么动的如此轻盈？桃田，李宗伟步伐又有什么区别呢？【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1794y177Dp	2023-12-07	public	official	video	footwork	footwork		candidate	high	Official-account public metadata; duration=1416s; discovered_by=space_playlist
LYX_BILI_BV1RA4Y1U7PU	怎么做个像李宗伟，安赛龙，林丹，桃田一样的反手过渡球？又稳又隐蔽！想学完整教学看咱们过渡球网课【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Ra4y1U7pu	2023-11-22	public	official	video	backhand	backhand		candidate	high	Official-account public metadata; duration=1552s; discovered_by=space_playlist
LYX_BILI_BV13N411G7SS	完整正反手过渡直线，斜线教学！怎么打得像李梓佳，安赛龙，林丹等！【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV13N411g7sS	2023-11-09	public	official	video	backhand	backhand		candidate	high	Official-account public metadata; duration=557s; discovered_by=space_playlist
LYX_BILI_BV17N411G7BH	害人的拳式握法，不要再用了！只会越打越没速度！来看看为什么发不上力【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV17N411G7bh	2023-11-06	public	official	video	unclassified_public_video	all		candidate	high	Official-account public metadata; duration=1323s; discovered_by=space_playlist
LYX_BILI_BV1ZC4Y1N7FJ	#秘诀教学【怎么单打接杀挡斜线如：李宗伟，桃田，林丹，李梓佳】和【 双打混双中场球挡斜线】防守斜线的秘诀！「李宇轩教练」	Bilibili	https://www.bilibili.com/video/BV1zC4y1n7FJ	2023-10-28	public	official	video	drive,doubles,singles	drive,doubles,singles		candidate	high	Official-account public metadata; duration=1356s; discovered_by=space_playlist
LYX_BILI_BV1TW411W7WD	对付大高个 和 矮个子的战术！教你们怎么得分同时限制对方回球路线 【李宇轩教练】	Bilibili	https://www.bilibili.com/video/BV1Tw411w7wD	2023-10-18	public	official	video	tactics	all		candidate	high	Official-account public metadata; duration=1708s; discovered_by=space_playlist
